period_start,period_end,type,price_yuan_per_ton,volume_wan_ton,notes,source
2008-10-01,2009-04-30,收储,12600-13800,272,2008/09年度救灾性收储+新疆棉收购,公开资料整理(待核实细分)
2011-09-08,2012-03-31,收储,19800,313,临时收储敞开收购;另有约100万吨新疆棉收储;占当年产量43.5%,中国经济网/中新网/人民网
2012-09-10,2013-03-29,收储,20400,651,敞开收储;累计489万吨@2012-12-24;来源口径650-662万吨;当年70%产量入储,人民网/中国纺织报/南华期货(662)
2013-09-10,2014-03-31,收储,20400,630,最后一年收储;2014年起取消改新疆目标价格直补,南华期货/人民网
2014-01-01,2014-12-31,政策,19800(目标价),0,新疆棉花目标价格改革试点;敞开收储终结,人民网
2012-09-03,2012-09-29,抛储,18500(起拍),50,收储前青黄不接期投放;约2000-3000元/吨贴水,中国经济网/南华期货
2013-01-14,2013-07-31,抛储,,369,南华期货(Wind口径),南华期货
2013-11-28,2014-08-31,抛储,,265,南华期货(Wind口径),南华期货
2015-07-10,2015-08-28,抛储,,6.34,计划100万吨仅成交6.34万吨——去库存实际起点失败,中国棉纺织行业协会
2016-05-03,2016-09-30,抛储,14224(三年均价),266,计划不超200万吨实际266万吨;去库存正式启动,中国棉纺织行业协会/国家发改委
2017-03-06,2017-09-29,抛储,14224(三年均价),322,日挂牌3万吨;三年去库存累计成交839万吨,中国棉纺织行业协会/中国纤检
2018-03-12,2018-09-30,抛储,14224(三年均价),251,2016-2018累计839万吨;国内外价差缩小43%,中国纤检/中国棉纺织行业协会
2019-05-05,2019-09-30,抛储,,100,计划100万吨左右成交99.6-116万吨(口径差异),中国棉纺织行业协会/南华期货
2019-12-01,2020-03-31,轮入,,37,低位轮入37.06万吨,南华期货
2020-07-01,2020-09-30,抛储,,50,国储剩余不足200万吨背景下少量轮出,中国棉纺织行业协会/南华期货
2021-07-05,2021-09-30,抛储,,63,轮出60万吨计划实际63万吨;牛市中利空出尽,南华期货/江苏东华期货
2021-10-08,2021-11-09,抛储,,40,2021牛市顶部密集投放,南华期货
2021-11-10,2021-11-30,抛储,,17.5,同上,南华期货
2022-07-13,2022-11-11,轮入,,8.67,熊市中少量轮入,南华期货
